generation,alpha,fit_prior,fitness
1,1.5332091027979167,False,0.6136470588235294
2,1.5332091027979167,False,0.6136470588235294
3,1.5332091027979167,False,0.6136470588235294
4,1.5332091027979167,False,0.6136470588235294
5,1.5332091027979167,False,0.6136470588235294
6,1.5893579617381564,False,0.6175686274509804
7,1.5893579617381564,False,0.6175686274509804
8,1.5893579617381564,False,0.6175686274509804
9,1.5893579617381564,False,0.6175686274509804
10,1.5893579617381564,False,0.6175686274509804
11,1.5893579617381564,False,0.6175686274509804
12,1.5893579617381564,False,0.6175686274509804
13,1.5802395312621158,False,0.6175686274509804
14,1.6014085769460455,False,0.6175686274509804
15,1.6092190855678576,False,0.6175686274509804
16,1.6092190855678576,False,0.6175686274509804
17,1.558651357526669,False,0.6175686274509804
18,1.5580653265331708,False,0.6175686274509804
19,1.6308881800379131,False,0.6175686274509804
20,1.5695823174814671,False,0.6175686274509804
21,1.5772524921630064,False,0.6175686274509804
22,1.560746761044351,False,0.6175686274509804
23,1.633254105418706,False,0.6175686274509804
24,1.5906634959092438,False,0.6175686274509804
25,1.5835819203581043,False,0.6175686274509804
26,1.5926132083229394,False,0.6175686274509804
27,1.621709331718582,False,0.6175686274509804
28,1.6050151630087577,False,0.6175686274509804
29,1.6178818611358958,False,0.6175686274509804
30,1.6086482183416002,False,0.6175686274509804
31,1.5949933372062888,False,0.6175686274509804
32,1.5616345550066926,False,0.6175686274509804
33,1.578094155503111,False,0.6175686274509804
34,1.615001300177518,False,0.6175686274509804
35,1.5745947891956824,False,0.6175686274509804
36,1.5568081974859682,False,0.6175686274509804
37,1.5873934745949057,False,0.6175686274509804
38,1.56868620488365,False,0.6175686274509804
39,1.6327366692725862,False,0.6175686274509804
40,1.6277615970749144,False,0.6175686274509804
41,1.5818949965442957,False,0.6175686274509804
42,1.5832208084739987,False,0.6175686274509804
43,1.598869474592747,False,0.6175686274509804
44,1.5616777454794017,False,0.6175686274509804
45,1.5821273930493807,False,0.6175686274509804
46,1.6028425753004554,False,0.6175686274509804
47,1.567972153327543,False,0.6175686274509804
48,1.5659112478078392,False,0.6175686274509804
49,1.5558253613878679,False,0.6175686274509804
50,1.5987460506198408,False,0.6175686274509804
51,1.5711631316137646,False,0.6175686274509804
52,1.63598073860091,False,0.6175686274509804
53,1.6252549334418136,False,0.6175686274509804
54,1.6133530694181881,False,0.6175686274509804
55,1.601420957326798,False,0.6175686274509804
56,1.5978157890721845,False,0.6175686274509804
57,1.621375803292253,False,0.6175686274509804
58,1.576964408611143,False,0.6175686274509804
59,1.5764054743229856,False,0.6175686274509804
60,1.6115530018544646,False,0.6175686274509804
61,1.6232067908549086,False,0.6175686274509804
62,1.620093066983766,False,0.6175686274509804
63,1.554848499615183,False,0.6175686274509804
64,1.616495890083236,False,0.6175686274509804
65,1.62006299066932,False,0.6175686274509804
66,1.5646758349819891,False,0.6175686274509804
67,1.6296802366179661,False,0.6175686274509804
68,1.601498789121164,False,0.6175686274509804
69,1.5981850908112398,False,0.6175686274509804
70,1.6029935001886733,False,0.6175686274509804
71,1.5669784323320388,False,0.6175686274509804
72,1.5652784578440033,False,0.6175686274509804
73,1.5782238892401634,False,0.6175686274509804
74,1.568653534536395,False,0.6175686274509804
75,1.5800123165930737,False,0.6175686274509804
76,1.6272443930963214,False,0.6175686274509804
77,1.5755091543828441,False,0.6175686274509804
78,1.6226878956753743,False,0.6175686274509804
79,1.5518921253272215,False,0.6175686274509804
80,1.6341483864798567,False,0.6175686274509804
81,1.570476984120294,False,0.6175686274509804
82,1.6057388526705896,False,0.6175686274509804
83,1.6234230242025611,False,0.6175686274509804
84,1.5600573099003245,False,0.6175686274509804
85,1.5876339097305607,False,0.6175686274509804
86,1.5606692944840936,False,0.6175686274509804
87,1.5551275975410657,False,0.6175686274509804
88,1.6242851981300117,False,0.6175686274509804
89,1.5547795519629088,False,0.6175686274509804
90,1.6051473002884373,False,0.6175686274509804
91,1.5852956804393987,False,0.6175686274509804
92,1.6079912267656495,False,0.6175686274509804
93,1.6332099225652699,False,0.6175686274509804
94,1.5706589470548036,False,0.6175686274509804
95,1.628100306028537,False,0.6175686274509804
96,1.6106041923821355,False,0.6175686274509804
97,1.5948814088246097,False,0.6175686274509804
98,1.5795941907567141,False,0.6175686274509804
99,1.5893593675544484,False,0.6175686274509804
100,1.6010718406260216,False,0.6175686274509804
