generation,fitness
1,0.6135686274509804
2,0.6255686274509804
3,0.6335686274509804
4,0.6335686274509804
5,0.6414901960784314
6,0.6414901960784314
7,0.6414901960784314
8,0.6414901960784314
9,0.6414901960784314
10,0.6414901960784314
11,0.6414901960784314
12,0.6454901960784314
13,0.6454901960784314
14,0.6454901960784314
15,0.6454901960784314
16,0.6454901960784314
17,0.6454901960784314
18,0.6454901960784314
19,0.6454901960784314
20,0.6454901960784315
21,0.6454901960784315
22,0.6534117647058825
23,0.6534117647058825
24,0.6534117647058825
25,0.6534117647058825
26,0.6534117647058825
27,0.6534117647058825
28,0.6534117647058825
29,0.6573333333333334
30,0.6614117647058825
31,0.6614117647058825
32,0.6614117647058825
33,0.6614117647058825
34,0.6614117647058825
35,0.6614117647058825
36,0.6614117647058825
37,0.6614117647058825
38,0.6614117647058825
39,0.6614901960784314
40,0.6614901960784314
41,0.6654901960784313
42,0.6654901960784313
43,0.6694901960784314
44,0.6694901960784314
45,0.6694901960784314
46,0.6694901960784314
47,0.6694901960784314
48,0.6694901960784314
49,0.6694901960784314
50,0.6694901960784314
51,0.6694901960784314
52,0.6694901960784314
53,0.6694901960784314
54,0.6694901960784314
55,0.6694901960784314
56,0.6694901960784314
57,0.6694901960784314
58,0.6694901960784314
59,0.6694901960784314
60,0.6694901960784314
61,0.6694901960784314
62,0.6733333333333335
63,0.6733333333333335
64,0.6733333333333335
65,0.6733333333333335
66,0.6733333333333335
67,0.6733333333333335
68,0.6734117647058824
69,0.6734117647058824
70,0.6734117647058824
71,0.6734117647058824
72,0.6734117647058824
73,0.6734117647058824
74,0.6734117647058824
75,0.6734117647058824
76,0.6734117647058824
77,0.6734117647058824
78,0.6734117647058824
79,0.6734117647058824
80,0.6734117647058824
81,0.6734117647058824
82,0.6734117647058824
83,0.6734117647058824
84,0.6734117647058824
85,0.6734117647058824
86,0.6773333333333333
87,0.6773333333333333
88,0.6773333333333333
89,0.6773333333333333
90,0.6773333333333333
91,0.6773333333333333
92,0.6773333333333333
93,0.6773333333333333
94,0.6773333333333333
95,0.6773333333333333
96,0.6773333333333333
97,0.6773333333333333
98,0.6773333333333333
99,0.6773333333333333
100,0.6773333333333333
